"displacement,mm","force,kN","force,N"
0.0,0.00877679,8.77679
0.0159997,1.7308599999999998,1730.86
0.0320044,3.5348200000000003,3534.82
0.0479975,5.09007,5090.07
0.0639906,6.4752,6475.2
0.0799837,7.72613,7726.13
0.0959768,8.24778,8247.78
0.111966,8.573350000000001,8573.35
0.127959,8.65658,8656.58
0.143952,8.66123,8661.23
0.159953,8.650450000000001,8650.45
0.175985,8.64368,8643.68
0.192016,8.63632,8636.32
0.208048,8.62417,8624.17
0.224079,8.61476,8614.76
0.240111,8.60515,8605.15
0.256139,8.59282,8592.82
0.27217,8.58165,8581.65
0.288202,8.57123,8571.23
0.304234,8.55857,8558.57
0.320265,8.547030000000001,8547.03
0.336296,8.53575,8535.75
0.352328,8.52307,8523.07
0.368356,8.51084,8510.84
0.384387,8.49897,8498.97
0.400419,8.48611,8486.11
0.416451,8.47335,8473.35
0.432482,8.46092,8460.92
0.448513,8.44777,8447.77
0.464545,8.43449,8434.49
0.480577,8.42151,8421.51
0.496605,8.40808,8408.08
0.512636,8.39434,8394.34
0.528668,8.38077,8380.77
0.544699,8.36691,8366.91
0.56073,8.352590000000001,8352.59
0.576763,8.33839,8338.39
0.592794,8.3239,8323.9
0.608826,8.30913,8309.13
0.624853,8.29443,8294.43
0.640743,8.27945,8279.45
0.656616,8.264389999999999,8264.39
0.672494,8.249049999999999,8249.05
0.688372,8.233559999999999,8233.56
0.70425,8.217799999999999,8217.8
0.720127,8.2019,8201.9
0.736001,8.18571,8185.71
0.751879,8.16933,8169.33
0.767757,8.15272,8152.72
0.783634,8.135850000000001,8135.85
0.799508,8.11873,8118.73
0.815387,8.10138,8101.38
0.831265,8.08375,8083.75
0.847142,8.06586,8065.86
0.863019,8.04769,8047.69
0.878894,8.02924,8029.24
0.894772,8.01048,8010.48
0.910649,7.99141,7991.41
0.926528,7.97203,7972.03
0.942402,7.95233,7952.33
0.958279,7.93229,7932.29
0.974156,7.9118900000000005,7911.89
0.990035,7.89113,7891.13
1.006,7.87,7870.0
1.02199,7.84849,7848.49
1.03799,7.82657,7826.57
1.05399,7.80424,7804.24
1.07,7.78145,7781.45
1.08599,7.758220000000001,7758.22
1.10199,7.734500000000001,7734.5
1.11799,7.710310000000001,7710.31
1.13394,7.68552,7685.52
1.14997,7.6600600000000005,7660.06
1.16599,7.63405,7634.05
1.18198,7.6075,7607.5
1.19798,7.58037,7580.37
1.214,7.55252,7552.52
1.23,7.52404,7524.04
1.24596,7.49497,7494.97
1.262,7.46503,7465.03
1.27808,7.43428,7434.28
1.2939,7.40332,7403.32
1.31006,7.37084,7370.84
1.32604,7.33792,7337.92
1.34193,7.3043700000000005,7304.37
1.35809,7.269340000000001,7269.34
1.37394,7.23415,7234.15
1.39004,7.1975299999999995,7197.53
1.40608,7.1601099999999995,7160.11
1.42183,7.12251,7122.51
1.4381,7.08272,7082.72
1.45404,7.04288,7042.88
1.46999,7.002149999999999,7002.15
1.48618,6.959930000000001,6959.93
1.502,6.91773,6917.73
1.51798,6.87432,6874.32
1.53414,6.82964,6829.64
1.54999,6.78515,6785.15
1.56597,6.73966,6739.66
1.58218,6.6927,6692.7
1.59805,6.646020000000001,6646.02
