
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.73086E+03
              100.012E-06         32.0044E-03         3.53482E+03
              150.001E-06         47.9975E-03         5.09007E+03
              200.004E-06         63.9906E-03         6.45801E+03
              250.007E-06         79.9837E-03         7.95724E+03
              300.009E-06         95.9768E-03         8.7829E+03 
              350.E-06           111.966E-03          9.62474E+03
              400.003E-06        127.959E-03         10.3864E+03 
              450.005E-06        143.952E-03         11.0076E+03 
              500.004E-06        159.953E-03         11.5768E+03 
              550.005E-06        175.985E-03         12.0369E+03 
              600.007E-06        192.016E-03         12.4822E+03 
              650.008E-06        208.048E-03         12.772E+03  
              700.01E-06         224.079E-03         12.9665E+03 
              750.011E-06        240.111E-03         13.0925E+03 
              800.001E-06        256.139E-03         13.1494E+03 
              850.003E-06        272.17E-03          13.1672E+03 
              900.004E-06        288.202E-03         13.1719E+03 
              950.006E-06        304.234E-03         13.1709E+03 
                1.00001E-03      320.265E-03         13.1666E+03 
                1.05001E-03      336.296E-03         13.1608E+03 
                1.10001E-03      352.328E-03         13.1538E+03 
                1.15E-03         368.356E-03         13.1458E+03 
                1.2E-03          384.387E-03         13.1372E+03 
                1.25E-03         400.419E-03         13.1278E+03 
                1.3E-03          416.451E-03         13.1176E+03 
                1.35001E-03      432.482E-03         13.1069E+03 
                1.40001E-03      448.513E-03         13.0958E+03 
                1.45001E-03      464.545E-03         13.084E+03  
                1.50001E-03      480.577E-03         13.0718E+03 
                1.55E-03         496.605E-03         13.059E+03  
                1.6E-03          512.636E-03         13.0457E+03 
                1.65E-03         528.668E-03         13.032E+03  
                1.7E-03          544.699E-03         13.0179E+03 
                1.75001E-03      560.73E-03          13.0032E+03 
                1.80001E-03      576.763E-03         12.9881E+03 
                1.85001E-03      592.794E-03         12.9725E+03 
                1.90001E-03      608.826E-03         12.9565E+03 
                1.95E-03         624.854E-03         12.94E+03   
                2.00001E-03      640.743E-03         12.9232E+03 
                2.05E-03         656.616E-03         12.906E+03  
                2.1E-03          672.494E-03         12.8883E+03 
                2.15001E-03      688.372E-03         12.8701E+03 
                2.20001E-03      704.25E-03          12.8514E+03 
                2.25001E-03      720.127E-03         12.8323E+03 
                2.3E-03          736.001E-03         12.8127E+03 
                2.35E-03         751.88E-03          12.7926E+03 
                2.40001E-03      767.757E-03         12.772E+03  
                2.45001E-03      783.634E-03         12.7508E+03 
                2.5E-03          799.508E-03         12.7292E+03 
                2.55E-03         815.387E-03         12.707E+03  
                2.60001E-03      831.265E-03         12.6843E+03 
                2.65001E-03      847.142E-03         12.6611E+03 
                2.70001E-03      863.021E-03         12.6372E+03 
                2.75E-03         878.895E-03         12.6129E+03 
                2.8E-03          894.772E-03         12.5879E+03 
                2.85001E-03      910.649E-03         12.5623E+03 
                2.90001E-03      926.528E-03         12.5361E+03 
                2.95E-03         942.402E-03         12.5092E+03 
                3.E-03           958.279E-03         12.4817E+03 
                3.05001E-03      974.156E-03         12.4535E+03 
                3.10001E-03      990.035E-03         12.4246E+03 
                3.15001E-03        1.00601           12.395E+03  
                3.2E-03            1.02201           12.3647E+03 
                3.25E-03           1.03801           12.3336E+03 
                3.30001E-03        1.05401           12.3017E+03 
                3.35001E-03        1.07001           12.269E+03  
                3.4E-03            1.08601           12.2355E+03 
                3.45E-03           1.10201           12.2011E+03 
                3.50001E-03        1.11801           12.1658E+03 
                3.55001E-03        1.13401           12.1296E+03 
                3.60001E-03        1.15001           12.0924E+03 
                3.65E-03           1.16601           12.0542E+03 
                3.7E-03            1.18201           12.0149E+03 
                3.75001E-03        1.19801           11.9746E+03 
                3.80001E-03        1.21401           11.9331E+03 
                3.85E-03           1.23001           11.8904E+03 
                3.90001E-03        1.24601           11.8465E+03 
                3.95001E-03        1.26218           11.8005E+03 
                4.00001E-03        1.27813           11.7537E+03 
                4.05E-03           1.29412           11.7055E+03 
                4.1E-03            1.31019           11.6554E+03 
                4.15E-03           1.32602           11.6046E+03 
                4.20001E-03        1.34221           11.5511E+03 
                4.25E-03           1.35809           11.4969E+03 
                4.30001E-03        1.37419           11.4401E+03 
                4.35E-03           1.39014           11.3821E+03 
                4.4E-03            1.40613           11.3221E+03 
                4.45E-03           1.42217           11.26E+03   
                4.5E-03            1.43806           11.1965E+03 
                4.55001E-03        1.4542            11.1301E+03 
                4.6E-03            1.46999           11.0632E+03 
                4.65E-03           1.48621           10.9925E+03 
                4.7E-03            1.50211           10.9212E+03 
                4.75E-03           1.51818           10.8471E+03 
                4.80001E-03        1.53422           10.7712E+03 
                4.85E-03           1.55001           10.6946E+03 
                4.9E-03            1.56625           10.614E+03  
                4.95E-03           1.58212           10.5334E+03 
                5.E-03             1.59811           10.4505E+03 




