
                  X             Displacement          Force      

                0.                 0.                12.3148     
               50.002E-06         18.0057E-03       133.656      
              100.E-06            35.99E-03         599.326      
              150.001E-06         53.9531E-03         1.00931E+03
              200.E-06            71.938E-03          1.30029E+03
              250.001E-06         89.9438E-03         1.87957E+03
              300.E-06           107.949E-03          2.16885E+03
              350.001E-06        125.951E-03          2.24204E+03
              400.E-06           143.871E-03          2.36982E+03
              450.001E-06        161.791E-03          2.46513E+03
              500.001E-06        179.768E-03          2.69984E+03
              550.001E-06        197.93E-03           2.78411E+03
              600.001E-06        216.092E-03          2.72178E+03
              650.001E-06        234.254E-03          2.68819E+03
              700.001E-06        252.417E-03          2.73805E+03
              750.001E-06        270.413E-03          2.7262E+03 
              800.001E-06        288.463E-03          2.78708E+03
              850.001E-06        306.622E-03          2.83139E+03
              900.002E-06        324.762E-03          2.78183E+03
              950.001E-06        342.636E-03          2.82129E+03
                1.E-03           360.807E-03          2.81201E+03
                1.05E-03         379.142E-03          2.80027E+03
                1.1E-03          396.948E-03          2.85022E+03
                1.15E-03         415.102E-03          2.85193E+03
                1.2E-03          433.205E-03          2.83224E+03
                1.25E-03         451.162E-03          2.85775E+03
                1.3E-03          468.895E-03          2.84474E+03
                1.35E-03         486.743E-03          2.87082E+03
                1.4E-03          504.533E-03          2.87127E+03
                1.45E-03         522.974E-03          2.87345E+03
                1.5E-03          541.745E-03          2.88865E+03
                1.55E-03         560.271E-03          2.89188E+03
                1.6E-03          578.23E-03           2.8915E+03 
                1.65E-03         596.151E-03          2.90065E+03
                1.7E-03          614.071E-03          2.91164E+03
                1.75E-03         631.991E-03          2.91304E+03
                1.8E-03          649.91E-03           2.91904E+03
                1.85E-03         667.831E-03          2.92212E+03
                1.9E-03          685.752E-03          2.92928E+03
                1.95E-03         703.66E-03           2.93332E+03
                2.E-03           721.943E-03          2.93803E+03
                2.05E-03         740.23E-03           2.94214E+03
                2.1E-03          758.515E-03          2.94871E+03
                2.15E-03         776.801E-03          2.9521E+03 
                2.2E-03          794.766E-03          2.95805E+03
                2.25E-03         812.138E-03          2.96108E+03
                2.3E-03          829.51E-03           2.96598E+03
                2.35E-03         846.881E-03          2.97097E+03
                2.4E-03          864.251E-03          2.97293E+03
                2.45E-03         881.34E-03           2.97787E+03
                2.5E-03          898.159E-03          2.98178E+03
                2.55E-03         917.159E-03          2.9861E+03 
                2.6E-03          936.344E-03          2.98886E+03
                2.65E-03         955.544E-03          2.99314E+03
                2.7E-03          974.743E-03          2.99725E+03
                2.75E-03         993.832E-03          3.00036E+03
                2.8E-03            1.0121             3.00641E+03
                2.85E-03           1.03032            3.01171E+03
                2.9E-03            1.04947            3.01627E+03
                2.95E-03           1.06867            3.02019E+03
                3.E-03             1.08787            3.02151E+03
                3.05E-03           1.10707            3.02545E+03
                3.1E-03            1.12627            3.03188E+03
                3.15E-03           1.14547            3.03626E+03
                3.2E-03            1.16467            3.03952E+03
                3.25E-03           1.18387            3.04326E+03
                3.3E-03            1.20307            3.04478E+03
                3.35E-03           1.22227            3.05164E+03
                3.4E-03            1.24147            3.05608E+03
                3.45E-03           1.26067            3.0577E+03 
                3.5E-03            1.27987            3.06397E+03
                3.55E-03           1.29907            3.06571E+03
                3.6E-03            1.31827            3.06952E+03
                3.65E-03           1.33747            3.07521E+03
                3.7E-03            1.35667            3.08092E+03
                3.75E-03           1.37587            3.08368E+03
                3.8E-03            1.39507            3.08738E+03
                3.85E-03           1.41427            3.09144E+03
                3.9E-03            1.43347            3.09437E+03
                3.95E-03           1.45267            3.09942E+03
                4.E-03             1.47187            3.10382E+03
                4.05E-03           1.49107            3.10869E+03
                4.1E-03            1.51027            3.11165E+03
                4.15E-03           1.52947            3.11603E+03
                4.2E-03            1.54867            3.12277E+03
                4.25E-03           1.56787            3.12584E+03
                4.3E-03            1.58707            3.12821E+03
                4.35E-03           1.60627            3.13513E+03
                4.4E-03            1.62547            3.13852E+03
                4.45E-03           1.64467            3.14337E+03
                4.5E-03            1.66387            3.144E+03  
                4.55E-03           1.68307            3.14877E+03
                4.6E-03            1.70227            3.15542E+03
                4.65E-03           1.72147            3.1533E+03 
                4.7E-03            1.74067            3.15628E+03
                4.75E-03           1.75987            3.16082E+03
                4.8E-03            1.77907            3.16383E+03
                4.85E-03           1.79706            3.16873E+03
                4.9E-03            1.81429            3.17323E+03
                4.95E-03           1.83136            3.16761E+03
                5.E-03             1.84843            3.16462E+03




