"displacement,mm","force,kN","force,N"
0.0,0.0123148,12.3148
0.0180057,0.133656,133.656
0.03599,0.599326,599.326
0.0539531,1.00872,1008.72
0.071938,1.30032,1300.32
0.0899437,1.8817000000000002,1881.7
0.107949,2.17542,2175.42
0.125951,2.26111,2261.11
0.14387,2.42068,2420.68
0.161791,2.53085,2530.85
0.179768,2.8666,2866.6
0.19793,3.05481,3054.81
0.216092,2.99579,2995.79
0.234254,2.9859899999999997,2985.99
0.252413,3.0305500000000003,3030.55
0.270402,3.0342700000000002,3034.27
0.288391,3.07177,3071.77
0.306381,3.13047,3130.47
0.32437,3.11087,3110.87
0.342359,3.1381300000000003,3138.13
0.360128,3.12454,3124.54
0.37793,3.15187,3151.87
0.395942,3.17763,3177.63
0.414326,3.17811,3178.11
0.432747,3.1878,3187.8
0.450793,3.2063400000000004,3206.34
0.468637,3.20452,3204.52
0.486471,3.22714,3227.14
0.504144,3.23602,3236.02
0.521778,3.24528,3245.28
0.539383,3.25226,3252.26
0.557013,3.26961,3269.61
0.574665,3.27437,3274.37
0.592264,3.2823200000000003,3282.32
0.61034,3.29419,3294.19
0.629079,3.30593,3305.93
0.64785,3.31477,3314.77
0.66661,3.3235900000000003,3323.59
0.684684,3.33232,3332.32
0.702605,3.3410900000000003,3341.09
0.719475,3.35102,3351.02
0.737564,3.35974,3359.74
0.756755,3.36875,3368.75
0.775954,3.3781100000000004,3378.11
0.795155,3.38652,3386.52
0.813844,3.39541,3395.41
0.832133,3.40423,3404.23
0.850418,3.41214,3412.14
0.868705,3.42139,3421.39
0.88699,3.42964,3429.64
0.905276,3.43746,3437.46
0.923336,3.4455,3445.5
0.940769,3.45359,3453.59
0.958144,3.46142,3461.42
0.975514,3.46845,3468.45
0.992886,3.47617,3476.17
1.01026,3.48358,3483.58
1.02706,3.4909600000000003,3490.96
1.04388,3.498,3498.0
1.06266,3.50619,3506.19
1.08167,3.5137600000000004,3513.76
1.10087,3.52164,3521.64
1.12007,3.52916,3529.16
1.13927,3.53797,3537.97
1.15847,3.54494,3544.94
1.17767,3.55269,3552.69
1.19687,3.5605,3560.5
1.21607,3.56807,3568.07
1.23527,3.57512,3575.12
1.25447,3.58345,3583.45
1.27367,3.5902600000000002,3590.26
1.29287,3.59749,3597.49
1.3116,3.60483,3604.83
1.32882,3.6136,3613.6
1.3459,3.61958,3619.58
1.36302,3.6284,3628.4
1.3801,3.63504,3635.04
1.39716,3.64041,3640.41
1.41423,3.6490500000000003,3649.05
1.4313,3.6557600000000003,3655.76
1.44886,3.6627300000000003,3662.73
1.46806,3.67047,3670.47
1.48726,3.6778000000000004,3677.8
1.50646,3.6844699999999997,3684.47
1.52566,3.6914200000000004,3691.42
1.54486,3.69831,3698.31
1.56406,3.7065900000000003,3706.59
1.58326,3.7133000000000003,3713.3
1.60246,3.7204,3720.4
1.62166,3.7266100000000004,3726.61
1.64086,3.73412,3734.12
1.66006,3.74223,3742.23
1.67926,3.7509099999999997,3750.91
1.69846,3.7541700000000002,3754.17
1.71766,3.7647800000000005,3764.78
1.73686,3.77319,3773.19
1.75606,3.7794600000000003,3779.46
1.77526,3.7869800000000002,3786.98
1.79446,3.79233,3792.33
1.81366,3.80365,3803.65
1.83286,3.80955,3809.55
