"displacement,mm","force,kN","force,N"
0.0,0.00235296,2.35296
0.0119997,2.1109899999999997,2110.99
0.0240028,4.20196,4201.96
0.0360031,6.46174,6461.74
0.0480012,8.63871,8638.71
0.0600027,10.840100000000001,10840.1
0.0720209,13.029100000000001,13029.1
0.0840358,15.199,15199.0
0.0960497,17.3248,17324.8
0.108065,19.3993,19399.3
0.120062,21.410400000000003,21410.4
0.132003,23.4101,23410.1
0.143945,25.4618,25461.8
0.155887,27.387700000000002,27387.7
0.167828,29.1677,29167.7
0.17977,30.747,30747.0
0.191711,32.2606,32260.6
0.203653,33.5331,33533.1
0.215594,34.1932,34193.2
0.227536,34.3805,34380.5
0.239477,34.5042,34504.2
0.25144,34.588300000000004,34588.3
0.263459,34.6522,34652.2
0.275479,34.6877,34687.7
0.287498,34.7134,34713.4
0.299518,34.7261,34726.1
0.311537,34.728300000000004,34728.3
0.323557,34.720400000000005,34720.4
0.335577,34.704,34704.0
0.347596,34.68,34680.0
0.359616,34.649,34649.0
0.371635,34.6118,34611.8
0.383655,34.569,34569.0
0.395674,34.521,34521.0
0.407694,34.4684,34468.4
0.419713,34.411500000000004,34411.5
0.431733,34.3509,34350.9
0.443752,34.287,34287.0
0.455772,34.2203,34220.3
0.467749,34.150800000000004,34150.8
0.47989,34.077,34077.0
0.492051,34.000800000000005,34000.8
0.504211,33.922000000000004,33922.0
0.516371,33.8406,33840.6
0.52853,33.758,33758.0
0.54069,33.674099999999996,33674.1
0.552851,33.5886,33588.6
0.56501,33.501599999999996,33501.6
0.577171,33.412800000000004,33412.8
0.589331,33.3215,33321.5
0.601491,33.2275,33227.5
0.613651,33.1301,33130.1
0.62581,33.025800000000004,33025.8
0.637971,32.919900000000005,32919.9
0.650131,32.8122,32812.2
0.662292,32.7014,32701.4
0.67445,32.5869,32586.9
0.686611,32.4676,32467.6
0.698771,32.3427,32342.7
0.71093,32.2126,32212.6
0.723091,32.078,32078.0
0.735251,31.9407,31940.7
0.747411,31.799599999999998,31799.6
0.759571,31.655900000000003,31655.9
0.771729,31.5093,31509.3
0.783891,31.3597,31359.7
0.796051,31.2075,31207.5
0.808212,31.0523,31052.3
0.82037,30.8945,30894.5
0.83253,30.734,30734.0
0.844691,30.5705,30570.5
0.85685,30.4043,30404.3
0.869011,30.2357,30235.7
0.881171,30.064700000000002,30064.7
0.893331,29.8915,29891.5
0.90549,29.715700000000002,29715.7
0.917651,29.5379,29537.9
0.929768,28.448400000000003,28448.4
0.941856,28.9193,28919.3
0.953946,29.090500000000002,29090.5
0.96601,28.8965,28896.5
0.977744,28.6935,28693.5
0.989476,28.5954,28595.4
1.00121,28.2983,28298.3
1.01265,28.2462,28246.2
1.02403,27.9217,27921.7
1.03541,27.847900000000003,27847.9
1.04678,27.605700000000002,27605.7
1.05835,27.4733,27473.3
1.07115,27.1996,27199.6
1.08395,27.1015,27101.5
1.09614,26.7697,26769.7
1.10814,26.6919,26691.9
1.12014,26.384400000000003,26384.4
1.13214,26.2652,26265.2
1.14414,25.986400000000003,25986.4
1.15614,25.871000000000002,25871.0
1.16814,25.581500000000002,25581.5
1.18012,25.459400000000002,25459.4
1.19132,25.1948,25194.8
1.20297,25.0543,25054.3
