
                  X             Displacement          Force      

                0.                 0.                 2.35296    
              100.009E-06         11.9997E-03         2.11099E+03
              200.E-06            24.0028E-03         4.20196E+03
              300.004E-06         36.0031E-03         6.46174E+03
              400.008E-06         48.0012E-03         8.63871E+03
              500.004E-06         60.0027E-03        10.8401E+03 
              600.006E-06         72.0209E-03        13.0291E+03 
              700.008E-06         84.0358E-03        15.199E+03  
              800.001E-06         96.0497E-03        17.3248E+03 
              900.003E-06        108.065E-03         19.3993E+03 
                1.00001E-03      120.062E-03         21.4104E+03 
                1.1E-03          132.003E-03         23.4101E+03 
                1.2E-03          143.945E-03         25.4618E+03 
                1.30001E-03      155.887E-03         27.3877E+03 
                1.4E-03          167.828E-03         29.1677E+03 
                1.50001E-03      179.77E-03          30.747E+03  
                1.6E-03          191.711E-03         32.2606E+03 
                1.70001E-03      203.653E-03         33.5331E+03 
                1.8E-03          215.594E-03         34.1932E+03 
                1.90001E-03      227.536E-03         34.3805E+03 
                2.E-03           239.477E-03         34.5042E+03 
                2.10001E-03      251.44E-03          34.5883E+03 
                2.2E-03          263.459E-03         34.6522E+03 
                2.30001E-03      275.479E-03         34.6877E+03 
                2.4E-03          287.498E-03         34.7134E+03 
                2.50001E-03      299.518E-03         34.7261E+03 
                2.6E-03          311.537E-03         34.7283E+03 
                2.70001E-03      323.557E-03         34.7204E+03 
                2.8E-03          335.577E-03         34.704E+03  
                2.9E-03          347.596E-03         34.68E+03   
                3.00001E-03      359.616E-03         34.649E+03  
                3.1E-03          371.635E-03         34.6118E+03 
                3.20001E-03      383.655E-03         34.569E+03  
                3.3E-03          395.674E-03         34.521E+03  
                3.40001E-03      407.694E-03         34.4684E+03 
                3.5E-03          419.713E-03         34.4115E+03 
                3.60001E-03      431.733E-03         34.3509E+03 
                3.7E-03          443.752E-03         34.287E+03  
                3.80001E-03      455.772E-03         34.2203E+03 
                3.9E-03          467.749E-03         34.1508E+03 
                4.E-03           479.89E-03          34.077E+03  
                4.10001E-03      492.051E-03         34.0008E+03 
                4.2E-03          504.211E-03         33.922E+03  
                4.30001E-03      516.371E-03         33.8406E+03 
                4.4E-03          528.53E-03          33.758E+03  
                4.5E-03          540.69E-03          33.6741E+03 
                4.60001E-03      552.851E-03         33.5886E+03 
                4.7E-03          565.01E-03          33.5016E+03 
                4.80001E-03      577.171E-03         33.4128E+03 
                4.9E-03          589.331E-03         33.3215E+03 
                5.00001E-03      601.491E-03         33.2275E+03 
                5.1E-03          613.651E-03         33.1301E+03 
                5.2E-03          625.81E-03          33.0258E+03 
                5.30001E-03      637.971E-03         32.9199E+03 
                5.4E-03          650.131E-03         32.8122E+03 
                5.50001E-03      662.292E-03         32.7014E+03 
                5.6E-03          674.45E-03          32.5869E+03 
                5.7E-03          686.611E-03         32.4676E+03 
                5.80001E-03      698.771E-03         32.3427E+03 
                5.9E-03          710.93E-03          32.2126E+03 
                6.00001E-03      723.091E-03         32.078E+03  
                6.1E-03          735.251E-03         31.9407E+03 
                6.20001E-03      747.411E-03         31.7996E+03 
                6.3E-03          759.571E-03         31.6559E+03 
                6.4E-03          771.729E-03         31.5093E+03 
                6.50001E-03      783.891E-03         31.3597E+03 
                6.6E-03          796.051E-03         31.2075E+03 
                6.70001E-03      808.212E-03         31.0523E+03 
                6.8E-03          820.37E-03          30.8945E+03 
                6.9E-03          832.53E-03          30.734E+03  
                7.00001E-03      844.691E-03         30.5705E+03 
                7.1E-03          856.85E-03          30.4043E+03 
                7.20001E-03      869.011E-03         30.2357E+03 
                7.3E-03          881.171E-03         30.0647E+03 
                7.40001E-03      893.331E-03         29.8915E+03 
                7.5E-03          905.49E-03          29.7157E+03 
                7.6E-03          917.651E-03         29.5379E+03 
                7.70001E-03      929.768E-03         28.4484E+03 
                7.8E-03          941.856E-03         28.9193E+03 
                7.90001E-03      953.946E-03         29.0905E+03 
                8.E-03           966.01E-03          28.8965E+03 
                8.10001E-03      977.744E-03         28.6935E+03 
                8.2E-03          989.476E-03         28.5954E+03 
                8.30001E-03        1.00121           28.2983E+03 
                8.4E-03            1.01265           28.2462E+03 
                8.5E-03            1.02403           27.9217E+03 
                8.6E-03            1.03541           27.8479E+03 
                8.7E-03            1.04678           27.6057E+03 
                8.8E-03            1.05835           27.4733E+03 
                8.9E-03            1.07115           27.1996E+03 
                9.00001E-03        1.08395           27.1015E+03 
                9.1E-03            1.09614           26.7697E+03 
                9.2E-03            1.10814           26.6919E+03 
                9.3E-03            1.12014           26.3844E+03 
                9.40001E-03        1.13214           26.2652E+03 
                9.5E-03            1.14414           25.9864E+03 
                9.6E-03            1.15614           25.871E+03  
                9.7E-03            1.16814           25.5815E+03 
                9.8E-03            1.18012           25.4594E+03 
                9.90001E-03        1.19132           25.1948E+03 
               10.E-03             1.20297           25.0543E+03 




