
                  X             Displacement          Force      

                0.                 0.                 8.77679    
               50.0001E-06        15.9997E-03         1.73086E+03
              100.012E-06         32.0044E-03         3.53482E+03
              150.001E-06         47.9975E-03         5.09007E+03
              200.004E-06         63.9906E-03         6.56837E+03
              250.007E-06         79.9837E-03         8.55908E+03
              300.009E-06         95.9768E-03        10.3018E+03 
              350.E-06           111.966E-03         11.7228E+03 
              400.003E-06        127.959E-03         13.586E+03  
              450.005E-06        143.952E-03         15.1962E+03 
              500.004E-06        159.953E-03         16.7309E+03 
              550.005E-06        175.985E-03         18.7692E+03 
              600.007E-06        192.016E-03         20.2869E+03 
              650.008E-06        208.048E-03         21.6669E+03 
              700.01E-06         224.079E-03         23.5787E+03 
              750.011E-06        240.111E-03         24.898E+03  
              800.001E-06        256.139E-03         25.5036E+03 
              850.003E-06        272.17E-03          25.6376E+03 
              900.004E-06        288.202E-03         25.6973E+03 
              950.006E-06        304.234E-03         25.7235E+03 
                1.00001E-03      320.265E-03         25.7551E+03 
                1.05001E-03      336.296E-03         25.7427E+03 
                1.10001E-03      352.328E-03         25.6996E+03 
                1.15E-03         368.356E-03         25.6729E+03 
                1.2E-03          384.387E-03         25.6427E+03 
                1.25E-03         400.419E-03         25.5857E+03 
                1.3E-03          416.451E-03         25.5125E+03 
                1.35001E-03      432.482E-03         25.4607E+03 
                1.40001E-03      448.513E-03         25.3929E+03 
                1.45001E-03      464.545E-03         25.3062E+03 
                1.50001E-03      480.577E-03         25.228E+03  
                1.55E-03         496.605E-03         25.1551E+03 
                1.6E-03          512.636E-03         25.0628E+03 
                1.65E-03         528.668E-03         24.9692E+03 
                1.7E-03          544.699E-03         24.8864E+03 
                1.75001E-03      560.73E-03          24.7927E+03 
                1.80001E-03      576.763E-03         24.6901E+03 
                1.85001E-03      592.794E-03         24.595E+03  
                1.90001E-03      608.826E-03         24.4962E+03 
                1.95E-03         624.854E-03         24.3848E+03 
                2.00001E-03      640.743E-03         24.2756E+03 
                2.05E-03         656.616E-03         24.166E+03  
                2.1E-03          672.494E-03         24.0455E+03 
                2.15001E-03      688.372E-03         23.9224E+03 
                2.20001E-03      704.25E-03          23.8009E+03 
                2.25001E-03      720.127E-03         23.6713E+03 
                2.3E-03          736.001E-03         23.5347E+03 
                2.35E-03         751.879E-03         23.3972E+03 
                2.40001E-03      767.757E-03         23.2575E+03 
                2.45001E-03      783.634E-03         23.1113E+03 
                2.5E-03          799.508E-03         22.9588E+03 
                2.55E-03         815.387E-03         22.8025E+03 
                2.60001E-03      831.265E-03         22.6434E+03 
                2.65001E-03      847.142E-03         22.4802E+03 
                2.70001E-03      863.019E-03         22.3119E+03 
                2.75E-03         878.895E-03         22.1382E+03 
                2.8E-03          894.772E-03         21.9595E+03 
                2.85001E-03      910.649E-03         21.7762E+03 
                2.90001E-03      926.528E-03         21.5884E+03 
                2.95E-03         942.402E-03         21.3963E+03 
                3.E-03           958.279E-03         21.1995E+03 
                3.05001E-03      974.156E-03         20.9977E+03 
                3.10001E-03      990.035E-03         20.7908E+03 
                3.15E-03           1.0059            20.5781E+03 
                3.20001E-03        1.02192           20.3587E+03 
                3.25E-03           1.03792           20.134E+03  
                3.30001E-03        1.05392           19.9038E+03 
                3.35E-03           1.06992           19.6682E+03 
                3.4E-03            1.08591           19.427E+03  
                3.45001E-03        1.1019            19.1802E+03 
                3.50001E-03        1.11789           18.9276E+03 
                3.55E-03           1.13392           18.6686E+03 
                3.60001E-03        1.14994           18.4035E+03 
                3.65001E-03        1.16594           18.1328E+03 
                3.70001E-03        1.18193           17.8562E+03 
                3.75E-03           1.19792           17.5742E+03 
                3.8E-03            1.2139            17.2866E+03 
                3.85001E-03        1.22987           16.9938E+03 
                3.9E-03            1.2459            16.695E+03  
                3.95001E-03        1.26168           16.3966E+03 
                4.00001E-03        1.27793           16.0848E+03 
                4.05E-03           1.29384           15.7759E+03 
                4.10001E-03        1.30982           15.4631E+03 
                4.15001E-03        1.32599           15.145E+03  
                4.2E-03            1.3418            14.8328E+03 
                4.25E-03           1.35782           14.517E+03  
                4.3E-03            1.37396           14.1996E+03 
                4.35E-03           1.38979           13.89E+03   
                4.4E-03            1.40579           13.5799E+03 
                4.45E-03           1.422             13.2677E+03 
                4.5E-03            1.43788           12.9655E+03 
                4.55E-03           1.45352           12.6736E+03 
                4.60001E-03        1.46997           12.3735E+03 
                4.65E-03           1.486             12.0872E+03 
                4.7E-03            1.50181           11.8149E+03 
                4.75E-03           1.51761           11.553E+03  
                4.8E-03            1.53394           11.2916E+03 
                4.85E-03           1.55009           11.0459E+03 
                4.9E-03            1.56584           10.8156E+03 
                4.95E-03           1.58138           10.5996E+03 
                5.E-03             1.59788           10.3809E+03 




