"strain,-","stress,MPa","stress,Pa"
0.0,1640.3270731508383,1640327073.1508384
0.0005,1642.6554441789522,1642655444.1789522
0.001,1644.8978288828116,1644897828.8828115
0.0015,1647.057402721942,1647057402.721942
0.002,1649.1372238867175,1649137223.8867176
0.0025,1651.1402376290912,1651140237.6290913
0.003,1653.0692804333892,1653069280.4333892
0.0035,1654.927084033081,1654927084.033081
0.004,1656.7162792792096,1656716279.2792096
0.0045,1658.4393998659602,1658439399.8659601
0.005,1660.0988859186473,1660098885.9186473
0.0055,1661.697087449195,1661697087.449195
0.006,1663.2362676840082,1663236267.6840081
0.0065,1664.7186062689477,1664718606.2689478
0.007,1666.1462023559434,1666146202.3559434
0.0075,1667.521077575621,1667521077.575621
0.008,1668.84517890015,1668845178.9001498
0.0085,1670.1203814003673,1670120381.4003673
0.009,1671.34849090108,1671348490.90108
0.0095,1672.5312465383092,1672531246.5383093
0.01,1673.670323222095,1673670323.222095
0.0105,1674.76733400835,1674767334.00835
0.011,1675.8238323831213,1675823832.3831213
0.0115,1676.8413144624956,1676841314.4624956
0.012,1677.8212211112602,1677821221.1112602
0.0125,1678.7649399833253,1678764939.9833252
0.013,1679.6738074867903,1679673807.4867904
0.0135,1680.5491106764441,1680549110.676444
0.014,1681.3920890763725,1681392089.0763724
0.0145,1682.2039364352595,1682203936.4352596
0.015,1682.9858024168648,1682985802.4168649
0.0155,1683.7387942280711,1683738794.2280712
0.016,1684.46397818681,1684463978.18681
0.0165,1685.1623812320831,1685162381.232083
0.017,1685.834992378219,1685834992.3782191
0.0175,1686.4827641154247,1686482764.1154246
0.018,1687.106613758615,1687106613.758615
0.0185,1687.7074247464284,1687707424.7464285
0.019,1688.2860478922744,1688286047.8922744
0.0195,1688.8433025891754,1688843302.5891755
0.02,1689.379977970116,1689379977.970116
0.0205,1689.8968340255424,1689896834.0255423
0.021,1690.3946026795888,1690394602.6795888
0.0215,1690.8739888265632,1690873988.8265631
0.022,1691.3356713291535,1691335671.3291535
0.0225,1691.7803039797693,1691780303.9797692
0.023,1692.2085164263851,1692208516.4263852
0.0235,1692.6209150641878,1692620915.0641878
0.024,1693.0180838942993,1693018083.8942993
0.0245,1693.4005853507845,1693400585.3507845
0.025,1693.7689610971197,1693768961.0971198
0.0255,1694.1237327932458,1694123732.7932458
0.026,1694.465402834296,1694465402.834296
0.0265,1694.794455062041,1694794455.0620408
0.027,1695.111355450062,1695111355.450062
0.0275,1695.4165527636198,1695416552.76362
0.028,1695.7104791951538,1695710479.1951537
0.0285,1695.993550976315,1695993550.976315
0.029,1696.2661689673935,1696266168.9673934
0.0295,1696.5287192249814,1696528719.2249813
0.03,1696.7815735486697,1696781573.5486698
0.0305,1697.0250900075578,1697025090.0075579
0.031,1697.2596134473167,1697259613.4473166
0.0315,1697.4854759785296,1697485475.9785297
0.032,1697.7029974469945,1697702997.4469945
0.0325,1697.9124858866621,1697912485.886662
0.033,1698.1142379558444,1698114237.9558444
0.0335,1698.308539357315,1698308539.357315
0.034,1698.495665242896,1698495665.2428958
0.0345,1698.675880603101,1698675880.603101
0.035,1698.8494406423924,1698849440.6423924
0.0355,1699.0165911405772,1699016591.1405773
0.036,1699.1775688008584,1699177568.8008583
0.0365,1699.3326015850319,1699332601.5850317
0.037,1699.4819090363058,1699481909.0363057
0.0375,1699.6257025901964,1699625702.5901964
0.038,1699.764185873945,1699764185.873945
0.0385,1699.897554994875,1699897554.994875
0.039,1700.0259988181012,1700025998.8181012
0.0395,1700.1496992339844,1700149699.2339845
0.04,1700.2688314157062,1700268831.4157062
0.0405,1700.3835640673349,1700383564.067335
0.041,1700.494059662727,1700494059.662727
0.0415,1700.6004746756093,1700600474.6756094
0.042,1700.7029598011613,1700702959.8011613
0.0425,1700.8016601694171,1700801660.1694171
0.043,1700.8967155507846,1700896715.5507846
0.0435,1700.9882605539754,1700988260.5539753
0.044,1701.0764248166254,1701076424.8166254
0.0445,1701.1613331888766,1701161333.1888766
0.045,1701.2431059101768,1701243105.9101768
0.0455,1701.3218587795532,1701321858.7795532
0.046,1701.3977033195952,1701397703.319595
0.0465,1701.4707469343832,1701470746.9343832
0.047,1701.5410930615847,1701541093.0615847
0.0475,1701.6088413189318,1701608841.3189318
0.048,1701.674087645292,1701674087.645292
