"displacement,mm","force,kN","force,N"
0.0,0.00309212,3.09212
0.0119989,1.44215,1442.15
0.0239952,2.80074,2800.74
0.0359957,4.196479999999999,4196.48
0.0479956,5.6360600000000005,5636.06
0.0599954,6.991060000000001,6991.06
0.0719967,8.323770000000001,8323.77
0.0839966,9.734129999999999,9734.13
0.0959964,11.118,11118.0
0.107975,12.417,12417.0
0.119947,13.763700000000002,13763.7
0.131919,15.169,15169.0
0.143891,16.5398,16539.8
0.155863,17.8669,17866.9
0.167836,19.1748,19174.8
0.17981,20.4726,20472.6
0.191782,21.7255,21725.5
0.203816,22.8627,22862.7
0.215837,24.0065,24006.5
0.227859,25.0458,25045.8
0.23983,25.9613,25961.3
0.251747,26.603099999999998,26603.1
0.263666,26.7028,26702.8
0.275768,26.7005,26700.5
0.287894,26.6959,26695.9
0.29999,26.6827,26682.7
0.312004,26.668,26668.0
0.324018,26.615900000000003,26615.9
0.336032,26.5378,26537.8
0.348046,26.4631,26463.1
0.36006,26.3873,26387.3
0.372074,26.296,26296.0
0.384088,26.1915,26191.5
0.39604,26.0836,26083.6
0.407942,25.9779,25977.9
0.419844,25.8687,25868.7
0.431763,25.7491,25749.1
0.443876,25.6216,25621.6
0.455992,25.492400000000004,25492.4
0.468039,25.3616,25361.6
0.48004,25.2279,25227.9
0.492041,25.0897,25089.7
0.503992,24.9436,24943.6
0.515879,24.792099999999998,24792.1
0.527764,24.639599999999998,24639.6
0.53965,24.485,24485.0
0.551535,24.321900000000003,24321.9
0.563422,24.1511,24151.1
0.575308,23.9793,23979.3
0.587291,23.8013,23801.3
0.599262,23.614700000000003,23614.7
0.611247,23.4218,23421.8
0.62329,23.2253,23225.3
0.635271,23.0246,23024.6
0.647263,22.8153,22815.3
0.659297,22.5996,22599.6
0.671214,22.381700000000002,22381.7
0.683283,22.1545,22154.5
0.69527,21.9226,21922.6
0.707257,21.6851,21685.1
0.719296,21.440900000000003,21440.9
0.73123,21.1943,21194.3
0.7433,20.9396,20939.6
0.755207,20.6836,20683.6
0.767299,20.4188,20418.8
0.779228,20.1535,20153.5
0.791303,19.8809,19880.9
0.803329,19.605900000000002,19605.9
0.815247,19.327900000000003,19327.9
0.827293,19.041700000000002,19041.7
0.839096,18.7588,18758.8
0.851373,18.460700000000003,18460.7
0.86332,18.166,18166.0
0.875218,17.8671,17867.1
0.887104,17.5637,17563.7
0.898818,17.2638,17263.8
0.910707,16.9557,16955.7
0.922912,16.6416,16641.6
0.93506,16.329,16329.0
0.947327,16.015,16015.0
0.959594,15.699700000000002,15699.7
0.971423,15.387,15387.0
0.983157,15.0809,15080.9
0.994469,14.782,14782.0
1.00551,14.4904,14490.4
1.01799,14.157200000000001,14157.2
1.03079,13.825700000000001,13825.7
1.04359,13.505,13505.0
1.05603,13.1953,13195.3
1.06755,12.896600000000001,12896.6
1.07906,12.6108,12610.8
1.09058,12.335600000000001,12335.6
1.10211,12.070500000000001,12070.5
1.11362,11.8162,11816.2
1.12461,11.5722,11572.2
1.13741,11.2815,11281.5
1.15021,11.005700000000001,11005.7
1.16301,10.7421,10742.1
1.17581,10.4905,10490.5
1.18861,10.2512,10251.2
1.20141,10.026100000000001,10026.1
