"displacement,mm","force,kN","force,N"
0.0,0.0123148,12.3148
0.0180057,0.133656,133.656
0.03599,0.599327,599.327
0.0539531,1.00942,1009.42
0.071938,1.3026,1302.6
0.0899438,1.8937000000000002,1893.7
0.107949,2.2735700000000003,2273.57
0.12595,2.48036,2480.36
0.143869,2.75158,2751.58
0.16179,2.95494,2954.94
0.179766,3.15323,3153.23
0.197928,3.6823,3682.3
0.21609,4.04917,4049.17
0.234253,4.24273,4242.73
0.252433,4.3891800000000005,4389.18
0.270767,4.48874,4488.74
0.289103,4.4525500000000005,4452.55
0.307315,4.54371,4543.71
0.325304,4.671819999999999,4671.82
0.343426,4.63855,4638.55
0.361456,4.63734,4637.34
0.379437,4.62999,4629.99
0.397367,4.58697,4586.97
0.415506,4.63762,4637.62
0.433612,4.6485,4648.5
0.451467,4.60632,4606.32
0.469421,4.64938,4649.38
0.487362,4.6222,4622.2
0.505327,4.615810000000001,4615.81
0.523538,4.644220000000001,4644.22
0.541509,4.61975,4619.75
0.559401,4.64137,4641.37
0.57746,4.648770000000001,4648.77
0.595128,4.62959,4629.59
0.613583,4.6413400000000005,4641.34
0.631359,4.62745,4627.45
0.649306,4.635479999999999,4635.48
0.667505,4.65253,4652.53
0.685638,4.64867,4648.67
0.703374,4.6322600000000005,4632.26
0.721508,4.64541,4645.41
0.739641,4.63145,4631.45
0.757774,4.66269,4662.69
0.775907,4.651050000000001,4651.05
0.794041,4.66525,4665.25
0.812175,4.65685,4656.85
0.830307,4.663600000000001,4663.6
0.848441,4.67965,4679.65
0.866574,4.6689,4668.9
0.884708,4.68229,4682.29
0.902841,4.68436,4684.36
0.920975,4.6895,4689.5
0.939101,4.6973400000000005,4697.34
0.956475,4.7006499999999996,4700.65
0.973556,4.70665,4706.65
0.990623,4.71075,4710.75
1.00769,4.7146300000000005,4714.63
1.02475,4.717350000000001,4717.35
1.04182,4.72585,4725.85
1.05889,4.726319999999999,4726.32
1.07595,4.739520000000001,4739.52
1.09302,4.7466099999999996,4746.61
1.11009,4.75255,4752.55
1.12715,4.76199,4761.99
1.14422,4.76675,4766.75
1.16129,4.780279999999999,4780.28
1.17836,4.78406,4784.06
1.19542,4.7961599999999995,4796.16
1.21249,4.8016000000000005,4801.6
1.23017,4.81225,4812.25
1.24997,4.8223,4822.3
1.26827,4.83162,4831.62
1.28622,4.84187,4841.87
1.30414,4.84529,4845.29
1.32206,4.85333,4853.33
1.33998,4.85724,4857.24
1.3579,4.86442,4864.42
1.37582,4.86217,4862.17
1.39374,4.85651,4856.51
1.41378,4.86134,4861.34
1.43303,4.862979999999999,4862.98
1.45223,4.87063,4870.63
1.47143,4.86535,4865.35
1.49063,4.86095,4860.95
1.50983,4.849340000000001,4849.34
1.52903,4.85994,4859.94
1.54823,4.85384,4853.84
1.56743,4.83366,4833.66
1.5853,4.858890000000001,4858.89
1.60139,4.85086,4850.86
1.61739,4.8088999999999995,4808.9
1.63339,4.8466499999999995,4846.65
1.64939,4.83168,4831.68
1.66539,4.83812,4838.12
1.68139,4.8450299999999995,4845.03
1.69739,4.835529999999999,4835.53
1.71339,4.84797,4847.97
1.72939,4.8158900000000004,4815.89
1.74539,4.84525,4845.25
1.76139,4.86412,4864.12
1.77739,4.81489,4814.89
