
                  X             Displacement          Force      

                0.                 0.                12.3148     
               50.002E-06         18.0057E-03       133.656      
              100.E-06            35.99E-03         599.327      
              150.001E-06         53.9531E-03         1.00942E+03
              200.E-06            71.938E-03          1.3026E+03 
              250.001E-06         89.9438E-03         1.8937E+03 
              300.E-06           107.949E-03          2.27357E+03
              350.001E-06        125.95E-03           2.48036E+03
              400.E-06           143.869E-03          2.75158E+03
              450.001E-06        161.79E-03           2.95494E+03
              500.001E-06        179.766E-03          3.15323E+03
              550.001E-06        197.928E-03          3.6823E+03 
              600.001E-06        216.09E-03           4.04917E+03
              650.001E-06        234.253E-03          4.24273E+03
              700.001E-06        252.433E-03          4.38918E+03
              750.001E-06        270.767E-03          4.48874E+03
              800.001E-06        289.103E-03          4.45255E+03
              850.001E-06        307.315E-03          4.54371E+03
              900.E-06           325.304E-03          4.67182E+03
              950.E-06           343.426E-03          4.63855E+03
                1.E-03           361.456E-03          4.63734E+03
                1.05E-03         379.437E-03          4.62999E+03
                1.1E-03          397.367E-03          4.58697E+03
                1.15E-03         415.506E-03          4.63762E+03
                1.2E-03          433.612E-03          4.6485E+03 
                1.25E-03         451.467E-03          4.60632E+03
                1.3E-03          469.421E-03          4.64938E+03
                1.35E-03         487.362E-03          4.6222E+03 
                1.4E-03          505.327E-03          4.61581E+03
                1.45E-03         523.538E-03          4.64422E+03
                1.5E-03          541.509E-03          4.61975E+03
                1.55E-03         559.401E-03          4.64137E+03
                1.6E-03          577.46E-03           4.64877E+03
                1.65E-03         595.128E-03          4.62959E+03
                1.7E-03          613.583E-03          4.64134E+03
                1.75E-03         631.359E-03          4.62745E+03
                1.8E-03          649.306E-03          4.63548E+03
                1.85E-03         667.505E-03          4.65253E+03
                1.9E-03          685.638E-03          4.64867E+03
                1.95E-03         703.374E-03          4.63226E+03
                2.E-03           721.508E-03          4.64541E+03
                2.05E-03         739.641E-03          4.63145E+03
                2.1E-03          757.774E-03          4.66269E+03
                2.15E-03         775.907E-03          4.65105E+03
                2.2E-03          794.041E-03          4.66525E+03
                2.25E-03         812.175E-03          4.65685E+03
                2.3E-03          830.307E-03          4.6636E+03 
                2.35E-03         848.441E-03          4.67965E+03
                2.4E-03          866.574E-03          4.6689E+03 
                2.45E-03         884.708E-03          4.68229E+03
                2.5E-03          902.841E-03          4.68436E+03
                2.55E-03         920.975E-03          4.6895E+03 
                2.6E-03          939.101E-03          4.69734E+03
                2.65E-03         956.475E-03          4.70065E+03
                2.7E-03          973.556E-03          4.70665E+03
                2.75E-03         990.623E-03          4.71075E+03
                2.8E-03            1.00769            4.71463E+03
                2.85E-03           1.02475            4.71735E+03
                2.9E-03            1.04182            4.72585E+03
                2.95E-03           1.05889            4.72632E+03
                3.E-03             1.07595            4.73952E+03
                3.05E-03           1.09302            4.74661E+03
                3.1E-03            1.11009            4.75255E+03
                3.15E-03           1.12715            4.76199E+03
                3.2E-03            1.14422            4.76675E+03
                3.25E-03           1.16129            4.78028E+03
                3.3E-03            1.17836            4.78406E+03
                3.35E-03           1.19542            4.79616E+03
                3.4E-03            1.21249            4.8016E+03 
                3.45E-03           1.23017            4.81225E+03
                3.5E-03            1.24997            4.8223E+03 
                3.55E-03           1.26827            4.83162E+03
                3.6E-03            1.28622            4.84187E+03
                3.65E-03           1.30414            4.84529E+03
                3.7E-03            1.32206            4.85333E+03
                3.75E-03           1.33998            4.85724E+03
                3.8E-03            1.3579             4.86442E+03
                3.85E-03           1.37582            4.86217E+03
                3.9E-03            1.39374            4.85651E+03
                3.95E-03           1.41378            4.86134E+03
                4.E-03             1.43303            4.86298E+03
                4.05E-03           1.45223            4.87063E+03
                4.1E-03            1.47143            4.86535E+03
                4.15E-03           1.49063            4.86095E+03
                4.2E-03            1.50983            4.84934E+03
                4.25E-03           1.52903            4.85994E+03
                4.3E-03            1.54823            4.85384E+03
                4.35E-03           1.56743            4.83366E+03
                4.4E-03            1.5853             4.85889E+03
                4.45E-03           1.60139            4.85086E+03
                4.5E-03            1.61739            4.8089E+03 
                4.55E-03           1.63339            4.84665E+03
                4.6E-03            1.64939            4.83168E+03
                4.65E-03           1.66539            4.83812E+03
                4.7E-03            1.68139            4.84503E+03
                4.75E-03           1.69739            4.83553E+03
                4.8E-03            1.71339            4.84797E+03
                4.85E-03           1.72939            4.81589E+03
                4.9E-03            1.74539            4.84525E+03
                4.95E-03           1.76139            4.86412E+03
                5.E-03             1.77739            4.81489E+03




