
                  X             Displacement          Force      

                0.                 0.                 3.85542    
              100.001E-06         14.9977E-03         1.39986E+03
              200.001E-06         30.0021E-03         2.72184E+03
              300.E-06            45.0068E-03         4.17804E+03
              400.006E-06         60.0125E-03         5.46958E+03
              500.004E-06         75.0255E-03         6.54211E+03
              600.003E-06         90.1022E-03         7.53218E+03
              700.003E-06        105.179E-03          7.9514E+03 
              800.002E-06        120.256E-03          8.09547E+03
              900.001E-06        135.291E-03          8.19704E+03
                1.E-03           150.306E-03          8.32224E+03
                1.1E-03          165.321E-03          8.40639E+03
                1.20001E-03      180.338E-03          8.49442E+03
                1.3E-03          195.353E-03          8.56848E+03
                1.4E-03          210.368E-03          8.63285E+03
                1.5E-03          225.384E-03          8.6918E+03 
                1.6E-03          240.398E-03          8.74486E+03
                1.7E-03          255.414E-03          8.79193E+03
                1.8E-03          270.429E-03          8.83469E+03
                1.9E-03          285.444E-03          8.87229E+03
                2.E-03           300.46E-03           8.90517E+03
                2.1E-03          315.475E-03          8.9335E+03 
                2.20001E-03      330.491E-03          8.95844E+03
                2.3E-03          345.507E-03          8.98046E+03
                2.4E-03          360.522E-03          8.99989E+03
                2.5E-03          375.537E-03          9.01659E+03
                2.6E-03          390.552E-03          9.03056E+03
                2.7E-03          405.568E-03          9.0419E+03 
                2.8E-03          420.583E-03          9.05095E+03
                2.9E-03          435.598E-03          9.05791E+03
                3.E-03           450.614E-03          9.06275E+03
                3.10001E-03      465.63E-03           9.06532E+03
                3.20001E-03      480.645E-03          9.06561E+03
                3.3E-03          495.66E-03           9.06374E+03
                3.4E-03          510.822E-03          9.05969E+03
                3.5E-03          526.083E-03          9.0534E+03 
                3.6E-03          541.344E-03          9.04496E+03
                3.7E-03          556.606E-03          9.03439E+03
                3.8E-03          571.868E-03          9.02171E+03
                3.9E-03          587.128E-03          9.00697E+03
                4.E-03           602.39E-03           8.99022E+03
                4.10001E-03      617.653E-03          8.97161E+03
                4.20001E-03      632.705E-03          8.95117E+03
                4.3E-03          647.473E-03          8.92887E+03
                4.4E-03          662.243E-03          8.90477E+03
                4.5E-03          677.012E-03          8.87881E+03
                4.6E-03          691.78E-03           8.85121E+03
                4.7E-03          706.55E-03           8.82198E+03
                4.8E-03          721.318E-03          8.79117E+03
                4.9E-03          736.088E-03          8.75878E+03
                5.E-03           750.858E-03          8.72486E+03
                5.10001E-03      765.628E-03          8.68958E+03
                5.2E-03          780.327E-03          8.65284E+03
                5.3E-03          794.602E-03          8.61465E+03
                5.4E-03          809.073E-03          8.57458E+03
                5.5E-03          824.539E-03          8.53008E+03
                5.6E-03          840.005E-03          8.48392E+03
                5.7E-03          855.473E-03          8.43609E+03
                5.8E-03          870.938E-03          8.38672E+03
                5.9E-03          886.406E-03          8.33562E+03
                6.E-03           901.872E-03          8.28268E+03
                6.10001E-03      917.34E-03           8.22815E+03
                6.2E-03          932.555E-03          8.17241E+03
                6.3E-03          947.488E-03          8.11548E+03
                6.4E-03          962.112E-03          8.05818E+03
                6.5E-03          976.51E-03           7.99982E+03
                6.6E-03          990.911E-03          7.94E+03   
                6.7E-03            1.00556            7.87762E+03
                6.8E-03            1.02069            7.81105E+03
                6.9E-03            1.03582            7.74288E+03
                7.E-03             1.05095            7.67428E+03
                7.1E-03            1.06607            7.60489E+03
                7.2E-03            1.08137            7.53094E+03
                7.3E-03            1.09673            7.45518E+03
                7.4E-03            1.11209            7.37945E+03
                7.5E-03            1.12745            7.30177E+03
                7.6E-03            1.14176            7.22425E+03
                7.7E-03            1.15608            7.14487E+03
                7.8E-03            1.17173            7.05814E+03
                7.9E-03            1.186              6.97815E+03
                8.E-03             1.20136            6.88707E+03
                8.1E-03            1.21736            6.78843E+03
                8.2E-03            1.23337            6.68996E+03
                8.3E-03            1.24936            6.59242E+03
                8.4E-03            1.26429            6.49544E+03
                8.5E-03            1.27869            6.39931E+03
                8.6E-03            1.29309            6.30398E+03
                8.7E-03            1.30749            6.20977E+03
                8.8E-03            1.32101            6.11763E+03
                8.9E-03            1.33482            6.01926E+03
                9.E-03             1.35188            5.90002E+03
                9.1E-03            1.36895            5.78338E+03
                9.2E-03            1.38584            5.66892E+03
                9.3E-03            1.40077            5.55724E+03
                9.4E-03            1.4157             5.4481E+03 
                9.5E-03            1.43064            5.34159E+03
                9.6E-03            1.44557            5.23846E+03
                9.7E-03            1.46014            5.13797E+03
                9.8E-03            1.47295            5.03968E+03
                9.9E-03            1.48575            4.94452E+03
               10.E-03             1.49855            4.85191E+03




