
                  X             Displacement          Force      

                0.                 0.               232.868E-03  
              100.001E-06         15.0028E-03         1.25828E+03
              200.006E-06         29.9988E-03         2.68478E+03
              300.E-06            44.9769E-03         4.05341E+03
              400.001E-06         59.9549E-03         5.38484E+03
              500.002E-06         74.9558E-03         6.65363E+03
              600.003E-06         89.9608E-03         7.65841E+03
              700.004E-06        104.966E-03          7.91384E+03
              800.005E-06        119.972E-03          8.06824E+03
              900.006E-06        134.94E-03           8.19744E+03
                1.E-03           149.92E-03           8.32356E+03
                1.1E-03          164.997E-03          8.40077E+03
                1.20001E-03      180.077E-03          8.48758E+03
                1.3E-03          195.083E-03          8.56442E+03
                1.4E-03          210.052E-03          8.61708E+03
                1.5E-03          225.016E-03          8.6589E+03 
                1.6E-03          239.895E-03          8.69797E+03
                1.7E-03          254.974E-03          8.7315E+03 
                1.8E-03          269.981E-03          8.75956E+03
                1.9E-03          284.988E-03          8.78195E+03
                2.00001E-03      299.995E-03          8.80017E+03
                2.1E-03          314.95E-03           8.81487E+03
                2.2E-03          329.735E-03          8.8265E+03 
                2.3E-03          344.521E-03          8.83519E+03
                2.4E-03          359.466E-03          8.84138E+03
                2.5E-03          374.746E-03          8.84518E+03
                2.6E-03          389.831E-03          8.84654E+03
                2.70001E-03      404.915E-03          8.84573E+03
                2.8E-03          420.003E-03          8.84291E+03
                2.9E-03          434.951E-03          8.83815E+03
                3.E-03           449.807E-03          8.83151E+03
                3.1E-03          464.663E-03          8.8232E+03 
                3.2E-03          479.578E-03          8.81324E+03
                3.3E-03          494.751E-03          8.80141E+03
                3.40001E-03      509.92E-03           8.78803E+03
                3.5E-03          525.092E-03          8.77322E+03
                3.6E-03          540.176E-03          8.75699E+03
                3.7E-03          554.871E-03          8.73941E+03
                3.8E-03          569.57E-03           8.72059E+03
                3.9E-03          584.717E-03          8.69989E+03
                4.E-03           599.977E-03          8.6778E+03 
                4.1E-03          615.218E-03          8.65445E+03
                4.2E-03          629.985E-03          8.62993E+03
                4.3E-03          644.754E-03          8.60422E+03
                4.4E-03          659.524E-03          8.57732E+03
                4.5E-03          674.292E-03          8.5494E+03 
                4.6E-03          688.936E-03          8.52039E+03
                4.7E-03          703.583E-03          8.48945E+03
                4.8E-03          719.051E-03          8.45565E+03
                4.9E-03          734.517E-03          8.4205E+03 
                5.E-03           749.984E-03          8.38402E+03
                5.1E-03          765.351E-03          8.34614E+03
                5.2E-03          780.287E-03          8.30689E+03
                5.3E-03          795.217E-03          8.2663E+03 
                5.4E-03          810.15E-03           8.22433E+03
                5.5E-03          825.087E-03          8.18091E+03
                5.6E-03          840.016E-03          8.13591E+03
                5.7E-03          854.584E-03          8.08935E+03
                5.8E-03          868.987E-03          8.04111E+03
                5.9E-03          883.388E-03          7.99108E+03
                6.E-03           897.785E-03          7.93916E+03
                6.1E-03          912.186E-03          7.88503E+03
                6.2E-03          927.475E-03          7.82539E+03
                6.3E-03          942.859E-03          7.76354E+03
                6.4E-03          957.775E-03          7.70052E+03
                6.5E-03          972.32E-03           7.63551E+03
                6.6E-03          987.396E-03          7.56565E+03
                6.7E-03            1.00276            7.49173E+03
                6.8E-03            1.01765            7.41679E+03
                6.9E-03            1.0323             7.33794E+03
                7.E-03             1.04794            7.25289E+03
                7.1E-03            1.0625             7.16725E+03
                7.2E-03            1.07747            7.07693E+03
                7.3E-03            1.09312            6.98E+03   
                7.4E-03            1.10753            6.88312E+03
                7.5E-03            1.12223            6.78424E+03
                7.6E-03            1.13808            6.67356E+03
                7.7E-03            1.15271            6.56348E+03
                7.8E-03            1.16734            6.45399E+03
                7.9E-03            1.18385            6.32916E+03
                8.E-03             1.19879            6.20367E+03
                8.1E-03            1.21372            6.07937E+03
                8.2E-03            1.22865            5.95702E+03
                8.3E-03            1.24316            5.83647E+03
                8.4E-03            1.25596            5.71804E+03
                8.5E-03            1.26877            5.60235E+03
                8.6E-03            1.28156            5.48854E+03
                8.7E-03            1.30002            5.3284E+03 
                8.8E-03            1.31837            5.16722E+03
                8.9E-03            1.33437            5.01121E+03
                9.E-03             1.35037            4.86237E+03
                9.1E-03            1.36637            4.72101E+03
                9.2E-03            1.38237            4.58436E+03
                9.3E-03            1.39837            4.45276E+03
                9.4E-03            1.41437            4.3262E+03 
                9.5E-03            1.42737            4.20255E+03
                9.6E-03            1.44016            4.08313E+03
                9.7E-03            1.45296            3.96704E+03
                9.8E-03            1.46576            3.85458E+03
                9.9E-03            1.47857            3.75028E+03
               10.E-03             1.49136            3.65057E+03




