"displacement,mm","force,kN","force,N"
-0.0,0.0,0.0
1e-13,1.12305e-12,1.12305e-09
2e-13,7.05781e-13,7.05781e-10
3.5e-13,7.044270000000001e-14,7.04427e-11
5.75e-13,5.55354e-15,5.55354e-12
9.125e-13,5.45344e-16,5.45344e-13
1.41875e-12,5.4466200000000007e-17,5.44662e-14
2.17813e-12,5.44649e-18,5.44649e-15
3.31719e-12,5.4460399999999995e-19,5.44604e-16
5.02578e-12,5.44593e-20,5.44593e-17
7.58867e-12,5.44559e-21,5.44559e-18
1.1433e-11,5.44533e-22,5.44533e-19
1.71995e-11,5.44481e-23,5.44481e-20
2.58493e-11,5.44419e-24,5.44419e-21
3.88239e-11,5.443500000000001e-25,5.4435e-22
5.82859e-11,5.44247e-26,5.44247e-23
8.74788e-11,5.440880000000001e-27,5.44088e-24
1.31268e-10,5.4385e-28,5.4385e-25
1.96952e-10,5.43494e-29,5.43494e-26
2.76952e-10,5.43059e-30,5.43059e-27
3.56952e-10,5.42625e-31,5.42625e-28
4.36952e-10,5.4219e-32,5.4219e-29
5.16952e-10,5.4175600000000004e-33,5.41756e-30
5.96952e-10,5.41322e-34,5.41322e-31
6.76952e-10,5.408880000000001e-35,5.40888e-32
7.56952e-10,5.4045300000000004e-36,5.40453e-33
8.36952e-10,5.40019e-37,5.40019e-34
9.16952e-10,5.395850000000001e-38,5.39585e-35
9.96952e-10,4.1112100000000003e-10,4.11121e-07
1.07695e-09,1.1626500000000001e-09,1.16265e-06
1.15695e-09,1.91364e-09,1.91364e-06
1.23695e-09,2.6632e-09,2.6632e-06
1.31695e-09,3.3369000000000003e-09,3.3369e-06
1.39695e-09,3.915e-09,3.915e-06
1.47695e-09,4.32851e-09,4.32851e-06
1.55695e-09,4.62698e-09,4.62698e-06
1.63695e-09,4.88437e-09,4.88437e-06
1.71695e-09,5.117860000000001e-09,5.11786e-06
1.79695e-09,5.32564e-09,5.32564e-06
1.87695e-09,5.50729e-09,5.50729e-06
1.95695e-09,5.66904e-09,5.66904e-06
2.03695e-09,5.8157400000000004e-09,5.81574e-06
2.11695e-09,5.95143e-09,5.95143e-06
2.19695e-09,6.07945e-09,6.07945e-06
2.27695e-09,6.20213e-09,6.20213e-06
2.35695e-09,6.32098e-09,6.32098e-06
2.43695e-09,6.43656e-09,6.43656e-06
2.51695e-09,6.54902e-09,6.54902e-06
2.59695e-09,6.6584499999999995e-09,6.65845e-06
2.67695e-09,6.76504e-09,6.76504e-06
2.75695e-09,6.86899e-09,6.86899e-06
2.83695e-09,6.970330000000001e-09,6.97033e-06
2.91695e-09,7.06905e-09,7.06905e-06
2.99695e-09,7.16498e-09,7.16498e-06
3.07695e-09,7.2579900000000005e-09,7.25799e-06
3.15695e-09,7.34787e-09,7.34787e-06
3.23695e-09,7.43455e-09,7.43455e-06
3.31695e-09,7.51809e-09,7.51809e-06
3.39695e-09,7.5985e-09,7.5985e-06
3.47695e-09,7.67575e-09,7.67575e-06
3.55695e-09,7.74972e-09,7.74972e-06
3.63695e-09,7.820339999999999e-09,7.82034e-06
3.71695e-09,7.88759e-09,7.88759e-06
3.79695e-09,7.9516e-09,7.9516e-06
3.87695e-09,8.0126e-09,8.0126e-06
3.95695e-09,8.07089e-09,8.07089e-06
4.03695e-09,8.12676e-09,8.12676e-06
4.11695e-09,8.18043e-09,8.18043e-06
4.19695e-09,8.23209e-09,8.23209e-06
4.27695e-09,8.28183e-09,8.28183e-06
4.35695e-09,8.32977e-09,8.32977e-06
4.43695e-09,8.376000000000002e-09,8.376e-06
4.51695e-09,8.420659999999999e-09,8.42066e-06
4.59695e-09,8.46391e-09,8.46391e-06
4.67695e-09,8.50587e-09,8.50587e-06
4.75695e-09,8.54666e-09,8.54666e-06
4.83695e-09,8.58636e-09,8.58636e-06
4.91695e-09,8.62505e-09,8.62505e-06
4.99695e-09,8.662740000000001e-09,8.66274e-06
5.07695e-09,8.699480000000001e-09,8.69948e-06
5.15695e-09,8.7353e-09,8.7353e-06
5.23695e-09,8.77024e-09,8.77024e-06
5.31695e-09,8.804340000000001e-09,8.80434e-06
5.39695e-09,8.837639999999999e-09,8.83764e-06
5.47695e-09,8.87019e-09,8.87019e-06
5.55695e-09,8.902009999999999e-09,8.90201e-06
5.63695e-09,8.933140000000001e-09,8.93314e-06
5.71695e-09,8.963610000000001e-09,8.96361e-06
5.79695e-09,8.99345e-09,8.99345e-06
5.87695e-09,9.02269e-09,9.02269e-06
5.95695e-09,9.05135e-09,9.05135e-06
6.03695e-09,9.42166e-09,9.42166e-06
6.11695e-09,1.03173e-08,1.03173e-05
6.19695e-09,1.12866e-08,1.12866e-05
6.27695e-09,1.23348e-08,1.23348e-05
6.35695e-09,1.37745e-08,1.37745e-05
6.43695e-09,1.5165400000000002e-08,1.51654e-05
6.51695e-09,1.64611e-08,1.64611e-05
6.59695e-09,1.76603e-08,1.76603e-05
6.67695e-09,1.87609e-08,1.87609e-05
6.75695e-09,1.97577e-08,1.97577e-05
6.83695e-09,2.06528e-08,2.06528e-05
6.91695e-09,2.14566e-08,2.14566e-05
6.99695e-09,2.2176600000000002e-08,2.21766e-05
7.07695e-09,2.28177e-08,2.28177e-05
7.15695e-09,2.33917e-08,2.33917e-05
7.23695e-09,2.39122e-08,2.39122e-05
7.31695e-09,2.43879e-08,2.43879e-05
7.39695e-09,2.48254e-08,2.48254e-05
7.47695e-09,2.52301e-08,2.52301e-05
7.55695e-09,2.56064e-08,2.56064e-05
7.63695e-09,2.59588e-08,2.59588e-05
7.71695e-09,2.62901e-08,2.62901e-05
7.79695e-09,2.6602000000000002e-08,2.6602e-05
7.87695e-09,2.68965e-08,2.68965e-05
7.95695e-09,2.71753e-08,2.71753e-05
8.03695e-09,2.74394e-08,2.74394e-05
8.11695e-09,2.7690000000000002e-08,2.769e-05
8.19695e-09,2.79286e-08,2.79286e-05
8.27695e-09,2.81563e-08,2.81563e-05
8.35695e-09,2.83744e-08,2.83744e-05
8.43695e-09,2.85833e-08,2.85833e-05
8.51695e-09,2.87838e-08,2.87838e-05
8.59695e-09,2.89764e-08,2.89764e-05
8.67695e-09,2.91618e-08,2.91618e-05
8.75695e-09,2.93405e-08,2.93405e-05
8.83695e-09,2.9512900000000002e-08,2.95129e-05
8.91695e-09,2.96796e-08,2.96796e-05
8.99695e-09,2.9841e-08,2.9841e-05
9.07695e-09,2.99976e-08,2.99976e-05
9.15695e-09,3.01497e-08,3.01497e-05
9.23695e-09,3.02977e-08,3.02977e-05
9.31695e-09,3.04418e-08,3.04418e-05
9.39695e-09,3.0582400000000004e-08,3.05824e-05
9.47695e-09,3.0719500000000006e-08,3.07195e-05
9.55695e-09,3.08534e-08,3.08534e-05
9.63695e-09,3.09841e-08,3.09841e-05
9.71695e-09,3.1111600000000006e-08,3.11116e-05
9.79695e-09,3.12362e-08,3.12362e-05
9.87695e-09,3.13579e-08,3.13579e-05
9.95695e-09,3.147680000000001e-08,3.14768e-05
1.0037e-08,3.1593000000000004e-08,3.1593e-05
1.0117e-08,3.17068e-08,3.17068e-05
1.0197e-08,3.18182e-08,3.18182e-05
1.0277e-08,3.19274e-08,3.19274e-05
1.0357e-08,3.20343e-08,3.20343e-05
1.0437e-08,3.21392e-08,3.21392e-05
1.0517e-08,3.2242100000000004e-08,3.22421e-05
1.0597e-08,3.23431e-08,3.23431e-05
1.0677e-08,3.24424e-08,3.24424e-05
1.0757e-08,3.253990000000001e-08,3.25399e-05
1.0837e-08,3.26358e-08,3.26358e-05
1.0917e-08,3.27301e-08,3.27301e-05
