"displacement,mm","force,kN","force,N"
-0.0,0.0,0.0
1e-13,1.12305e-12,1.12305e-09
2e-13,7.05781e-13,7.05781e-10
3.5e-13,7.044270000000001e-14,7.04427e-11
5.75e-13,5.55354e-15,5.55354e-12
9.125e-13,5.45344e-16,5.45344e-13
1.41875e-12,5.4466200000000007e-17,5.44662e-14
2.17813e-12,5.44649e-18,5.44649e-15
3.31719e-12,5.4460399999999995e-19,5.44604e-16
5.02578e-12,5.44593e-20,5.44593e-17
7.58867e-12,5.44559e-21,5.44559e-18
1.1433e-11,5.44533e-22,5.44533e-19
1.71995e-11,5.44481e-23,5.44481e-20
2.58493e-11,5.44419e-24,5.44419e-21
3.88239e-11,5.443500000000001e-25,5.4435e-22
5.82859e-11,5.44247e-26,5.44247e-23
8.74788e-11,5.440880000000001e-27,5.44088e-24
1.31268e-10,5.4385e-28,5.4385e-25
1.96952e-10,5.43494e-29,5.43494e-26
2.76952e-10,5.43059e-30,5.43059e-27
3.56952e-10,5.42625e-31,5.42625e-28
4.36952e-10,5.4219e-32,5.4219e-29
5.16952e-10,5.4175600000000004e-33,5.41756e-30
5.96952e-10,5.41322e-34,5.41322e-31
6.76952e-10,5.408880000000001e-35,5.40888e-32
7.56952e-10,5.4045300000000004e-36,5.40453e-33
8.36952e-10,5.40019e-37,5.40019e-34
9.16952e-10,5.395850000000001e-38,5.39585e-35
9.96952e-10,4.1112100000000003e-10,4.11121e-07
1.07695e-09,1.1626500000000001e-09,1.16265e-06
1.15695e-09,1.91364e-09,1.91364e-06
1.23695e-09,2.64802e-09,2.64802e-06
1.31695e-09,3.29118e-09,3.29118e-06
1.39695e-09,3.7958799999999995e-09,3.79588e-06
1.47695e-09,4.168e-09,4.168e-06
1.55695e-09,4.488780000000001e-09,4.48878e-06
1.63695e-09,4.78703e-09,4.78703e-06
1.71695e-09,5.0595700000000006e-09,5.05957e-06
1.79695e-09,5.3091599999999995e-09,5.30916e-06
1.87695e-09,5.540180000000001e-09,5.54018e-06
1.95695e-09,5.75743e-09,5.75743e-06
2.03695e-09,5.9631e-09,5.9631e-06
2.11695e-09,6.15906e-09,6.15906e-06
2.19695e-09,6.34689e-09,6.34689e-06
2.27695e-09,6.527570000000001e-09,6.52757e-06
2.35695e-09,6.7013e-09,6.7013e-06
2.43695e-09,6.86733e-09,6.86733e-06
2.51695e-09,7.024720000000001e-09,7.02472e-06
2.59695e-09,7.17331e-09,7.17331e-06
2.67695e-09,7.31475e-09,7.31475e-06
2.75695e-09,7.45053e-09,7.45053e-06
2.83695e-09,7.579990000000001e-09,7.57999e-06
2.91695e-09,7.702750000000001e-09,7.70275e-06
2.99695e-09,7.8182e-09,7.8182e-06
3.07695e-09,7.92759e-09,7.92759e-06
3.15695e-09,8.03135e-09,8.03135e-06
3.23695e-09,8.12902e-09,8.12902e-06
3.31695e-09,8.22043e-09,8.22043e-06
3.39695e-09,8.30649e-09,8.30649e-06
3.47695e-09,8.38791e-09,8.38791e-06
3.55695e-09,8.46489e-09,8.46489e-06
3.63695e-09,8.53721e-09,8.53721e-06
3.71695e-09,8.60472e-09,8.60472e-06
3.79695e-09,8.66809e-09,8.66809e-06
3.87695e-09,8.72828e-09,8.72828e-06
3.95695e-09,8.78583e-09,8.78583e-06
4.03695e-09,8.840909999999999e-09,8.84091e-06
4.11695e-09,8.893650000000001e-09,8.89365e-06
4.19695e-09,8.94418e-09,8.94418e-06
4.27695e-09,8.99241e-09,8.99241e-06
4.35695e-09,9.03874e-09,9.03874e-06
4.43695e-09,9.08354e-09,9.08354e-06
4.51695e-09,9.12698e-09,9.12698e-06
4.59695e-09,9.1692e-09,9.1692e-06
4.67695e-09,9.210309999999999e-09,9.21031e-06
4.75695e-09,9.249800000000001e-09,9.2498e-06
4.83695e-09,9.287969999999999e-09,9.28797e-06
4.91695e-09,9.32509e-09,9.32509e-06
4.99695e-09,9.36133e-09,9.36133e-06
5.07695e-09,9.39681e-09,9.39681e-06
5.15695e-09,9.431590000000001e-09,9.43159e-06
5.23695e-09,9.4657e-09,9.4657e-06
5.31695e-09,9.4992e-09,9.4992e-06
5.39695e-09,9.5321e-09,9.5321e-06
5.47695e-09,9.56444e-09,9.56444e-06
5.55695e-09,9.59624e-09,9.59624e-06
5.63695e-09,9.62749e-09,9.62749e-06
5.71695e-09,9.65821e-09,9.65821e-06
5.79695e-09,9.6884e-09,9.6884e-06
5.87695e-09,9.71806e-09,9.71806e-06
5.95695e-09,9.74723e-09,9.74723e-06
6.03695e-09,9.914109999999999e-09,9.91411e-06
6.11695e-09,1.0583300000000001e-08,1.05833e-05
6.19695e-09,1.15545e-08,1.15545e-05
6.27695e-09,1.2491400000000001e-08,1.24914e-05
6.35695e-09,1.36073e-08,1.36073e-05
6.43695e-09,1.50098e-08,1.50098e-05
6.51695e-09,1.6351899999999998e-08,1.63519e-05
6.59695e-09,1.76055e-08,1.76055e-05
6.67695e-09,1.87688e-08,1.87688e-05
6.75695e-09,1.9842300000000003e-08,1.98423e-05
6.83695e-09,2.08216e-08,2.08216e-05
6.91695e-09,2.17123e-08,2.17123e-05
6.99695e-09,2.25255e-08,2.25255e-05
7.07695e-09,2.32654e-08,2.32654e-05
7.15695e-09,2.39408e-08,2.39408e-05
7.23695e-09,2.456e-08,2.456e-05
7.31695e-09,2.51301e-08,2.51301e-05
7.39695e-09,2.56591e-08,2.56591e-05
7.47695e-09,2.61535e-08,2.61535e-05
7.55695e-09,2.66184e-08,2.66184e-05
7.63695e-09,2.7057e-08,2.7057e-05
7.71695e-09,2.74714e-08,2.74714e-05
7.79695e-09,2.78627e-08,2.78627e-05
7.87695e-09,2.82329e-08,2.82329e-05
7.95695e-09,2.8583599999999998e-08,2.85836e-05
8.03695e-09,2.89161e-08,2.89161e-05
8.11695e-09,2.92319e-08,2.92319e-05
8.19695e-09,2.9533e-08,2.9533e-05
8.27695e-09,2.98202e-08,2.98202e-05
8.35695e-09,3.00935e-08,3.00935e-05
8.43695e-09,3.03542e-08,3.03542e-05
8.51695e-09,3.06033e-08,3.06033e-05
8.59695e-09,3.08415e-08,3.08415e-05
8.67695e-09,3.10698e-08,3.10698e-05
8.75695e-09,3.12892e-08,3.12892e-05
8.83695e-09,3.14997e-08,3.14997e-05
8.91695e-09,3.1701700000000005e-08,3.17017e-05
8.99695e-09,3.18956e-08,3.18956e-05
9.07695e-09,3.20821e-08,3.20821e-05
9.15695e-09,3.22618e-08,3.22618e-05
9.23695e-09,3.2435299999999995e-08,3.24353e-05
9.31695e-09,3.2603e-08,3.2603e-05
9.39695e-09,3.2765400000000004e-08,3.27654e-05
9.47695e-09,3.29226e-08,3.29226e-05
9.55695e-09,3.3074599999999995e-08,3.30746e-05
9.63695e-09,3.3222100000000003e-08,3.32221e-05
9.71695e-09,3.3365399999999996e-08,3.33654e-05
9.79695e-09,3.35052e-08,3.35052e-05
9.87695e-09,3.36416e-08,3.36416e-05
9.95695e-09,3.3774900000000004e-08,3.37749e-05
1.0037e-08,3.3905000000000005e-08,3.3905e-05
1.0117e-08,3.4032300000000006e-08,3.40323e-05
1.0197e-08,3.4157e-08,3.4157e-05
1.0277e-08,3.4279100000000004e-08,3.42791e-05
1.0357e-08,3.43986e-08,3.43986e-05
1.0437e-08,3.45158e-08,3.45158e-05
1.0517e-08,3.46308e-08,3.46308e-05
1.0597e-08,3.4743599999999995e-08,3.47436e-05
1.0677e-08,3.4854400000000004e-08,3.48544e-05
1.0757e-08,3.4963299999999997e-08,3.49633e-05
